id_cliente;edad;ciudad;tipo_cliente;dias_registrado;compras_totales;compras_ultimos_90_dias;gasto_total_90_dias;promedio_compra;dias_desde_ultima_compra;frecuencia_compra_dias;regularidad_compra;porcentaje_descuentos_usados;usa_domicilio;reclamos;calificacion_promedio;abandono
99;30;Guayaquil;Mayorista;145;42;20;2747.03;156.07;38;3;3.27;0.17;0;1;4.1;0
100;26;Manta;Minorista;1412;86;2;68.43;31.52;76;15;1.8;0.81;0;0;4.9;0
101;33;Manta;Minorista;929;56;8;203.7;24.02;3;17;1.95;0.48;0;0;4.7;0
102;49;Ambato;Minorista;336;30;6;218.3;34.32;56;9;3.24;0.07;0;0;4.1;0
103;24;Ambato;Mayorista;1385;124;2;291.36;178.52;37;11;0.74;0.87;1;0;4.5;0
104;53;Ambato;Minorista;607;67;5;80.23;15.47;39;10;4.27;0.73;0;1;4.6;0
105;47;Guayaquil;Minorista;1351;102;4;80.57;20.02;41;13;2.06;0.36;1;0;4.0;0
106;45;Quito;Minorista;95;14;6;201.32;34.19;36;16;2.59;0.34;1;0;4.0;0
107;22;Quito;Mayorista;1329;148;2;140.98;64.4;57;9;2.08;0.66;0;1;4.4;0
108;23;Loja;Minorista;649;56;1;9.66;9.54;78;11;2.34;0.93;0;0;4.1;1
109;68;Loja;Minorista;1259;165;0;0.0;22.09;88;8;3.1;0.53;0;0;4.9;1
110;59;Quito;Minorista;921;132;10;306.82;34.01;5;7;2.38;0.24;1;1;4.0;0
111;29;Manta;Minorista;1016;86;5;161.75;30.32;33;12;2.67;0.58;1;0;4.5;0
112;65;Guayaquil;Minorista;810;64;4;122.01;31.72;75;13;3.93;0.81;1;1;3.5;0
113;62;Quito;Minorista;1384;226;0;0.0;26.78;71;6;0.53;0.45;0;0;4.4;1
114;28;Quito;Mayorista;896;151;1;110.06;115.62;66;6;2.57;0.48;0;1;4.5;1
115;22;Guayaquil;Minorista;333;33;6;183.56;28.17;15;16;0.12;0.52;0;0;4.4;0
116;28;Manta;Minorista;80;2;1;13.65;14.93;68;13;3.67;0.54;1;0;4.3;1
117;47;Guayaquil;Mayorista;31;1;0;0.0;163.13;89;4;2.58;0.18;0;0;3.9;1
118;53;Guayaquil;Mayorista;1137;149;10;1059.32;104.82;1;8;2.8;0.59;1;0;5.0;0
119;27;Loja;Minorista;1013;61;1;13.72;14.9;72;16;4.31;0.73;1;0;4.2;1
120;53;Guayaquil;Minorista;1022;72;2;63.89;27.9;49;13;2.28;0.02;0;0;4.4;1
121;24;Ambato;Minorista;1213;205;1;29.63;34.67;77;6;5.6;0.7;0;0;5.0;1
122;28;Quito;Minorista;1028;108;1;28.42;27.56;68;10;2.05;0.09;0;0;4.4;1
123;26;Manta;Minorista;677;106;6;129.56;26.08;68;6;2.24;0.64;1;1;3.2;0
124;20;Cuenca;Minorista;371;32;4;67.77;20.56;87;13;3.17;0.18;0;1;4.0;0
125;59;Ambato;Minorista;475;28;7;241.6;29.48;12;16;1.04;0.23;1;1;4.3;0
126;18;Manta;Minorista;315;32;1;33.54;29.27;82;15;2.69;0.16;0;0;5.0;1
127;50;Manta;Minorista;143;12;12;186.95;16.25;2;7;3.35;0.45;1;1;4.1;0
128;54;Quito;Minorista;273;16;3;79.64;26.21;35;17;1.66;0.21;1;0;4.7;0
129;38;Manta;Minorista;607;57;1;25.77;30.21;78;10;2.7;0.86;1;0;4.3;1
130;52;Quito;Minorista;931;60;3;62.89;20.91;8;15;2.37;0.78;1;0;4.5;0
131;30;Guayaquil;Minorista;572;192;10;170.39;17.85;60;3;2.22;0.56;1;0;4.6;0
132;26;Loja;Minorista;1012;98;0;0.0;29.13;73;10;3.16;0.62;1;2;3.1;1
133;69;Guayaquil;Minorista;1274;109;0;0.0;17.93;50;13;2.23;0.83;0;0;4.4;0
134;55;Guayaquil;Minorista;690;95;8;183.74;24.71;39;7;3.0;0.2;0;1;4.4;0
135;52;Ambato;Minorista;526;141;8;104.82;11.43;52;4;1.95;0.24;1;0;4.0;0
136;55;Quito;Minorista;583;118;5;135.43;29.25;64;5;1.77;0.25;1;1;4.7;0
137;57;Loja;Minorista;818;80;8;162.53;24.58;8;11;3.46;0.52;0;0;4.5;0
138;25;Quito;Mayorista;874;114;9;580.4;64.27;24;8;1.58;0.99;1;1;3.1;0
139;45;Quito;Minorista;592;40;0;0.0;21.9;64;16;2.33;0.78;1;0;4.0;1
140;66;Guayaquil;Minorista;1435;158;0;0.0;22.32;89;9;4.25;0.75;1;0;5.0;1
141;51;Ambato;Minorista;552;70;0;0.0;12.42;59;8;3.67;0.93;1;0;4.6;1
142;52;Ambato;Minorista;151;11;5;147.8;32.81;12;15;2.2;0.84;1;0;5.0;0
143;40;Ambato;Minorista;265;22;6;159.8;30.08;22;11;1.72;0.51;1;0;5.0;0
144;50;Guayaquil;Minorista;725;68;7;214.0;26.6;23;10;4.05;0.16;1;0;4.8;0
145;25;Quito;Minorista;158;12;5;130.49;29.6;4;14;1.48;0.56;1;1;3.6;0
146;26;Cuenca;Minorista;529;37;2;19.67;8.95;58;17;0.76;0.15;0;0;4.1;1
147;36;Cuenca;Minorista;1154;110;9;206.73;24.01;4;10;2.91;0.41;1;0;4.3;0
148;34;Manta;Mayorista;1172;390;31;2168.48;67.78;3;3;4.73;0.6;1;0;5.0;0
149;36;Manta;Minorista;188;25;10;302.37;27.11;24;8;1.72;0.52;1;0;4.6;0
150;50;Guayaquil;Minorista;1199;130;4;164.04;34.96;47;9;1.27;0.64;1;0;5.0;0
151;32;Cuenca;Minorista;107;11;5;149.19;34.45;16;15;0.85;0.7;1;1;3.2;0
152;70;Quito;Mayorista;1479;209;4;563.25;161.03;69;7;2.27;0.48;1;0;5.0;0
153;56;Manta;Mayorista;1348;448;10;1260.94;107.86;57;3;2.08;0.47;0;0;4.5;0
154;45;Quito;Minorista;932;86;6;101.61;15.34;10;11;4.29;0.07;0;1;3.9;0
155;35;Quito;Minorista;279;73;6;156.71;32.3;50;4;1.27;0.66;1;0;4.4;0
156;43;Loja;Minorista;521;37;6;186.81;34.5;37;15;1.17;0.57;0;0;4.7;0
157;38;Loja;Mayorista;413;136;3;253.2;73.77;86;3;5.7;0.72;0;1;3.5;0
158;51;Guayaquil;Minorista;871;64;7;141.91;19.12;16;14;1.65;0.51;1;0;4.5;0
159;52;Loja;Minorista;272;33;9;282.35;28.48;7;9;3.78;0.02;1;3;3.1;0
160;43;Guayaquil;Minorista;910;87;4;72.23;21.44;42;11;3.75;0.38;0;0;4.7;0
161;28;Loja;Minorista;533;27;2;30.8;13.29;85;17;0.84;0.52;1;1;4.3;1
162;20;Manta;Minorista;312;29;7;238.85;32.14;8;10;2.26;0.62;1;1;3.5;0
163;28;Ambato;Minorista;843;120;6;185.34;31.81;30;7;3.01;0.16;0;1;3.8;0
164;52;Loja;Minorista;730;115;4;48.53;10.99;50;6;0.91;0.25;1;1;4.4;0
165;43;Loja;Mayorista;1330;340;12;1907.03;149.86;34;4;0.06;0.62;1;1;3.8;0
166;50;Quito;Mayorista;753;81;6;389.11;60.46;40;9;3.06;0.99;0;0;4.1;0
167;20;Quito;Minorista;545;56;9;344.55;33.33;15;10;0.92;0.77;0;0;4.6;0
168;23;Manta;Mayorista;1304;137;5;834.02;163.75;14;9;2.8;0.11;1;0;4.5;0
169;57;Loja;Mayorista;885;107;5;958.56;160.74;51;8;3.56;0.62;0;0;4.3;0
170;64;Cuenca;Minorista;1041;71;0;0.0;9.85;61;15;2.6;0.28;1;0;4.3;1
171;52;Guayaquil;Minorista;1030;60;0;0.0;17.19;68;16;3.45;0.63;1;0;4.5;1
172;22;Guayaquil;Minorista;1357;86;5;140.98;27.91;33;16;1.16;0.34;1;0;4.5;0
173;57;Ambato;Minorista;562;43;6;61.96;11.56;29;16;3.83;0.79;0;0;4.5;0
174;58;Manta;Minorista;1140;85;0;0.0;17.77;82;14;2.24;0.2;0;0;3.7;1
175;37;Ambato;Minorista;682;43;2;30.92;15.69;62;16;2.85;0.44;1;0;4.7;1
176;26;Quito;Minorista;1397;128;0;0.0;22.35;88;11;1.98;0.68;1;1;4.0;0
177;63;Ambato;Mayorista;30;1;2;245.62;132.95;72;12;3.11;0.82;0;2;3.3;1
178;21;Loja;Minorista;1019;75;7;172.05;24.1;19;14;2.25;0.32;0;1;4.3;0
179;58;Quito;Mayorista;231;12;4;254.69;73.89;10;11;2.51;0.17;1;0;4.0;0
180;34;Guayaquil;Mayorista;297;41;2;251.26;107.92;45;7;1.82;0.47;1;0;4.7;1
181;45;Cuenca;Minorista;306;42;3;86.02;29.3;45;9;1.19;0.8;0;0;5.0;0
182;40;Cuenca;Minorista;389;28;4;89.2;22.2;33;13;3.04;0.04;0;0;4.1;0
183;37;Guayaquil;Minorista;1255;80;5;101.25;24.09;43;17;1.9;0.85;1;0;5.0;0
184;62;Cuenca;Minorista;1487;146;3;57.31;22.36;59;10;2.36;0.93;0;0;4.4;0
185;67;Ambato;Mayorista;291;66;12;1190.6;104.45;30;5;2.44;0.47;1;0;3.9;0
186;65;Manta;Minorista;1331;215;7;135.82;22.37;49;6;3.29;0.36;1;0;4.3;0
187;68;Loja;Mayorista;791;129;11;1154.4;101.67;21;6;3.09;0.14;0;0;4.3;0
188;34;Quito;Mayorista;1152;129;9;1065.71;134.48;24;9;1.94;0.48;1;1;4.0;0
189;44;Cuenca;Minorista;1170;239;7;187.62;29.44;47;5;2.84;0.88;1;2;3.6;0
190;23;Guayaquil;Minorista;1052;104;0;0.0;13.49;75;10;2.79;0.49;1;1;3.0;1
191;44;Quito;Minorista;111;1;4;114.99;34.9;4;20;4.17;0.0;0;2;3.4;1
192;30;Manta;Mayorista;972;91;1;177.53;151.51;80;11;5.19;0.64;1;1;4.2;1
193;47;Guayaquil;Minorista;86;6;3;94.17;28.34;37;11;3.02;0.66;0;1;3.9;0
194;51;Cuenca;Mayorista;971;328;2;172.02;101.86;75;3;0.23;0.08;0;1;4.1;1
195;55;Guayaquil;Minorista;1241;91;0;0.0;15.59;56;13;1.58;0.93;1;0;4.5;0
196;56;Guayaquil;Minorista;350;27;8;183.3;24.29;13;10;1.47;0.89;0;1;4.1;0
197;53;Loja;Minorista;689;102;7;113.61;15.83;28;7;1.26;0.12;0;1;3.3;0
198;35;Cuenca;Minorista;383;29;5;66.3;16.57;49;11;1.75;0.28;1;1;4.0;0
199;25;Quito;Minorista;419;23;4;129.19;31.4;29;15;1.24;0.91;0;0;4.4;0
200;29;Cuenca;Minorista;720;49;2;38.89;18.47;29;15;3.13;0.67;0;0;4.2;0
201;28;Quito;Minorista;460;20;2;67.68;33.83;37;20;1.96;0.43;0;0;5.0;1
202;58;Guayaquil;Minorista;921;64;6;125.49;19.23;13;14;3.62;0.73;1;0;4.4;0
203;62;Guayaquil;Minorista;1226;109;10;174.79;16.52;8;11;3.47;0.4;1;0;4.2;0
204;60;Loja;Minorista;256;26;4;79.56;21.93;54;12;0.67;0.02;1;1;3.5;0
205;20;Loja;Minorista;140;8;5;43.76;9.12;24;14;2.94;0.76;0;1;4.2;0
206;44;Quito;Minorista;204;15;7;129.02;19.76;6;12;3.99;0.22;0;0;4.2;0
207;33;Manta;Minorista;749;43;6;154.63;22.77;7;15;3.42;0.61;1;0;3.9;0
208;20;Loja;Minorista;518;65;2;55.77;28.18;77;8;2.53;0.96;1;1;4.1;1
209;43;Cuenca;Mayorista;1252;151;7;1258.16;177.8;10;8;1.37;0.91;0;1;4.3;0
210;41;Loja;Minorista;1491;140;3;24.94;9.68;46;11;1.19;0.96;0;1;3.9;0
211;38;Ambato;Minorista;482;35;6;96.57;19.69;62;14;0.23;0.17;0;0;4.6;0
212;34;Quito;Minorista;360;27;5;108.8;25.8;28;14;2.46;0.41;0;1;4.9;0
213;28;Cuenca;Minorista;386;12;0;0.0;26.85;55;20;4.08;0.95;1;1;4.7;1
214;64;Cuenca;Minorista;862;85;0;0.0;23.26;84;11;2.12;0.01;0;0;4.5;1
215;45;Manta;Minorista;1308;221;6;80.06;14.85;66;6;2.58;0.4;1;0;4.4;0
216;44;Manta;Minorista;575;60;3;25.49;10.45;84;9;2.4;0.28;0;1;3.7;0
217;37;Cuenca;Mayorista;722;53;7;493.84;86.5;1;12;1.36;0.04;0;0;4.1;0
218;21;Ambato;Mayorista;738;84;11;1480.96;122.0;21;9;1.42;0.89;0;1;3.5;0
219;31;Manta;Minorista;161;27;12;329.32;31.09;8;6;1.27;0.07;1;0;4.5;0
220;64;Guayaquil;Minorista;1333;87;5;110.49;25.68;24;16;2.63;0.28;0;1;4.4;0
221;70;Guayaquil;Minorista;710;79;7;56.46;8.27;10;9;1.79;0.88;1;2;4.0;0
222;22;Quito;Minorista;1396;97;4;53.88;14.83;25;15;2.07;1.0;1;2;3.2;0
223;38;Manta;Minorista;782;121;6;180.31;29.08;42;6;3.13;0.95;1;0;4.7;0
224;64;Ambato;Minorista;182;17;0;0.0;27.13;65;11;2.44;0.16;0;1;4.2;1
225;18;Cuenca;Minorista;1036;69;3;37.35;13.27;57;16;1.76;0.34;1;0;4.6;0
226;65;Manta;Minorista;204;28;0;0.0;18.27;81;10;3.33;0.38;0;1;4.3;1
227;31;Ambato;Minorista;855;55;5;137.19;27.07;4;16;6.01;0.54;0;0;4.8;0
228;30;Ambato;Minorista;1293;100;3;48.79;14.12;76;13;3.2;0.63;1;1;4.4;0
229;54;Guayaquil;Minorista;869;55;0;0.0;12.4;67;14;3.32;0.02;0;0;5.0;1
230;50;Cuenca;Minorista;546;106;9;132.1;17.61;59;5;3.99;0.07;1;0;4.0;0
231;21;Guayaquil;Minorista;318;24;1;30.38;29.2;79;17;2.07;0.99;1;0;4.6;1
232;43;Quito;Minorista;231;19;0;0.0;13.13;69;11;2.62;0.07;0;0;3.9;1
233;42;Ambato;Minorista;237;26;3;25.1;10.08;38;15;2.98;0.95;0;0;4.3;0
234;52;Cuenca;Minorista;396;31;5;153.31;34.06;22;19;3.93;0.61;0;0;4.9;0
235;19;Cuenca;Minorista;442;17;2;27.89;13.47;59;20;2.91;0.7;0;0;3.9;1
236;24;Manta;Mayorista;846;68;6;735.29;107.88;10;13;3.18;0.98;0;0;4.1;0
237;44;Ambato;Mayorista;83;7;0;0.0;91.05;85;9;3.49;0.72;1;1;4.8;1
238;67;Cuenca;Minorista;241;20;2;21.78;9.35;23;14;2.41;0.02;0;0;4.4;0
239;57;Quito;Minorista;232;11;4;67.38;18.05;58;18;4.46;0.88;0;2;3.7;1
240;18;Guayaquil;Mayorista;1044;348;16;2369.07;152.49;51;3;3.22;0.33;1;0;4.3;0
241;54;Cuenca;Minorista;678;44;1;19.25;22.45;60;15;4.03;0.78;1;1;3.8;1
242;21;Quito;Mayorista;1267;207;6;336.26;63.4;54;6;3.67;0.01;0;0;4.1;0
243;55;Ambato;Minorista;1394;94;2;45.0;20.05;71;14;3.16;0.01;1;0;5.0;1
244;38;Manta;Minorista;90;10;3;80.73;30.36;25;16;3.17;0.63;0;0;4.7;0
245;56;Ambato;Mayorista;877;69;5;896.11;155.34;35;11;0.09;0.34;1;1;3.6;0
246;54;Loja;Minorista;682;48;8;171.89;19.6;23;13;2.62;0.79;1;0;4.9;0
247;50;Ambato;Mayorista;1467;295;18;1181.84;74.21;10;5;4.7;0.31;0;0;3.9;0
248;32;Guayaquil;Minorista;1435;160;9;168.12;19.23;9;9;4.75;0.7;0;0;4.7;0
249;51;Quito;Minorista;170;17;3;75.27;21.38;48;13;2.86;0.44;1;1;4.3;0
250;24;Quito;Mayorista;1367;214;5;641.95;155.13;62;6;5.64;0.63;1;1;3.6;0
251;45;Loja;Minorista;1126;71;0;0.0;17.01;86;16;3.97;0.45;0;1;3.9;1
252;63;Cuenca;Minorista;571;47;6;181.72;31.69;8;11;3.1;0.07;0;1;4.0;0
253;30;Quito;Minorista;586;72;0;0.0;17.98;78;8;2.28;0.72;1;0;4.4;1
254;19;Loja;Minorista;1115;77;6;197.79;29.72;31;14;1.62;0.77;1;0;4.5;0
255;65;Manta;Minorista;1482;81;0;0.0;25.89;81;17;4.31;0.39;1;2;3.8;1
256;54;Manta;Minorista;967;70;2;26.98;15.32;11;13;1.19;0.21;1;1;3.7;0
257;28;Loja;Minorista;1260;70;4;115.46;25.81;50;20;1.99;0.27;1;0;5.0;0
258;18;Manta;Minorista;1019;68;4;116.01;25.68;13;14;2.31;0.98;1;0;5.0;0
259;54;Cuenca;Minorista;369;42;9;199.77;19.21;1;7;2.19;0.82;1;0;4.0;0
260;63;Manta;Minorista;484;27;3;96.44;27.08;54;16;5.44;0.3;0;0;4.0;1
261;69;Loja;Minorista;488;27;0;0.0;11.58;75;16;3.84;0.01;0;0;4.6;1
262;42;Guayaquil;Minorista;97;14;1;24.29;23.63;43;16;2.12;0.37;1;0;4.9;1
263;22;Manta;Minorista;809;50;4;37.08;9.44;42;16;4.42;0.67;0;1;4.1;0
264;40;Manta;Minorista;1478;106;2;26.62;15.43;54;14;3.98;0.18;1;0;5.0;1
265;67;Loja;Mayorista;972;107;7;1260.2;160.58;50;9;3.52;0.96;0;0;5.0;0
266;19;Cuenca;Minorista;1491;123;6;155.93;24.04;40;13;2.75;0.25;1;0;4.8;0
267;24;Loja;Minorista;1005;67;0;0.0;26.66;88;14;1.74;0.62;0;1;3.8;1
268;29;Cuenca;Minorista;974;92;6;58.96;10.3;29;11;2.29;0.27;1;0;3.9;0
269;32;Guayaquil;Minorista;514;39;3;66.66;25.03;40;13;1.92;0.02;1;0;5.0;0
270;49;Loja;Mayorista;65;24;1;115.87;101.12;82;3;0.2;0.56;1;0;4.4;1
271;55;Manta;Minorista;1319;188;6;60.34;10.22;44;7;0.37;0.31;0;1;3.5;0
